x	 u	 u_exact
0.000000	-1.002959	-1.000000
0.000978	-1.003114	-0.999981
0.001955	-1.002826	-0.999925
0.002933	-1.002909	-0.999830
0.003910	-1.002541	-0.999698
0.004888	-1.002554	-0.999528
0.005865	-1.002104	-0.999321
0.006843	-1.002049	-0.999076
0.007820	-1.001516	-0.998793
0.008798	-1.001394	-0.998473
0.009775	-1.000778	-0.998114
0.010753	-1.000586	-0.997719
0.011730	-0.999891	-0.997285
0.012708	-0.999626	-0.996814
0.013685	-0.998857	-0.996305
0.014663	-0.998511	-0.995759
0.015640	-0.997678	-0.995175
0.016618	-0.997240	-0.994554
0.017595	-0.996355	-0.993895
0.018573	-0.995812	-0.993199
0.019550	-0.994890	-0.992465
0.020528	-0.994227	-0.991694
0.021505	-0.993283	-0.990885
0.022483	-0.992484	-0.990039
0.023460	-0.991533	-0.989155
0.024438	-0.990585	-0.988235
0.025415	-0.989639	-0.987277
0.026393	-0.988536	-0.986281
0.027370	-0.987595	-0.985249
0.028348	-0.986343	-0.984179
0.029326	-0.985395	-0.983073
0.030303	-0.984012	-0.981929
0.031281	-0.983032	-0.980748
0.032258	-0.981552	-0.979530
0.033236	-0.980499	-0.978275
0.034213	-0.978968	-0.976983
0.035191	-0.977794	-0.975655
0.036168	-0.976261	-0.974289
0.037146	-0.974920	-0.972887
0.038123	-0.973424	-0.971448
0.039101	-0.971888	-0.969973
0.040078	-0.970444	-0.968461
0.041056	-0.968717	-0.966912
0.042033	-0.967301	-0.965327
0.043011	-0.965427	-0.963706
0.043988	-0.963978	-0.962048
0.044966	-0.962033	-0.960354
0.045943	-0.960466	-0.958623
0.046921	-0.958536	-0.956857
0.047898	-0.956773	-0.955054
0.048876	-0.954919	-0.953215
0.049853	-0.952928	-0.951341
0.050831	-0.951150	-0.949430
0.051808	-0.948967	-0.947484
0.052786	-0.947193	-0.945502
0.053763	-0.944920	-0.943484
0.054741	-0.943031	-0.941431
0.055718	-0.940792	-0.939342
0.056696	-0.938679	-0.937218
0.057674	-0.936549	-0.935058
0.058651	-0.934186	-0.932863
0.059629	-0.932136	-0.930633
0.060606	-0.929608	-0.928368
0.061584	-0.927507	-0.926068
0.062561	-0.924974	-0.923733
0.063539	-0.922664	-0.921363
0.064516	-0.920252	-0.918958
0.065494	-0.917666	-0.916518
0.066471	-0.915365	-0.914044
0.067449	-0.912595	-0.911536
0.068426	-0.910249	-0.908993
0.069404	-0.907489	-0.906416
0.070381	-0.904907	-0.903805
0.071359	-0.902298	-0.901159
0.072336	-0.899428	-0.898480
0.073314	-0.896918	-0.895766
0.074291	-0.893913	-0.893019
0.075269	-0.891281	-0.890238
0.076246	-0.888375	-0.887424
0.077224	-0.885442	-0.884576
0.078201	-0.882708	-0.881695
0.079179	-0.879535	-0.878780
0.080156	-0.876788	-0.875833
0.081134	-0.873637	-0.872852
0.082111	-0.870617	-0.869839
0.083089	-0.867663	-0.866792
0.084066	-0.864345	-0.863713
0.085044	-0.861449	-0.860601
0.086022	-0.858101	-0.857457
0.086999	-0.854954	-0.854281
0.087977	-0.851815	-0.851072
0.088954	-0.848344	-0.847831
0.089932	-0.845288	-0.844558
0.090909	-0.841780	-0.841254
0.091887	-0.838465	-0.837917
0.092864	-0.835183	-0.834549
0.093842	-0.831541	-0.831150
0.094819	-0.828323	-0.827719
0.095797	-0.824689	-0.824257
0.096774	-0.821165	-0.820763
0.097752	-0.817780	-0.817239
0.098729	-0.813961	-0.813684
0.099707	-0.810557	-0.810099
0.100684	-0.806851	-0.806482
0.101662	-0.803076	-0.802836
0.102639	-0.799603	-0.799159
0.103617	-0.795644	-0.795452
0.104594	-0.791996	-0.791715
0.105572	-0.788276	-0.787948
0.106549	-0.784244	-0.784151
0.107527	-0.780634	-0.780325
0.108504	-0.776630	-0.776469
0.109482	-0.772663	-0.772584
0.110459	-0.768940	-0.768670
0.111437	-0.764738	-0.764727
0.112414	-0.760859	-0.760755
0.113392	-0.756919	-0.756754
0.114370	-0.752641	-0.752725
0.115347	-0.748788	-0.748667
0.116325	-0.744609	-0.744582
0.117302	-0.740343	-0.740468
0.118280	-0.736426	-0.736326
0.119257	-0.732047	-0.732156
0.120235	-0.727826	-0.727959
0.121212	-0.723776	-0.723734
0.122190	-0.719260	-0.719482
0.123167	-0.715069	-0.715203
0.124145	-0.710854	-0.710897
0.125122	-0.706255	-0.706564
0.126100	-0.702063	-0.702204
0.127077	-0.697681	-0.697818
0.128055	-0.693032	-0.693406
0.129032	-0.688805	-0.688967
0.130010	-0.684272	-0.684502
0.130987	-0.679586	-0.680012
0.131965	-0.675301	-0.675496
0.132942	-0.670639	-0.670954
0.133920	-0.665914	-0.666387
0.134897	-0.661558	-0.661795
0.135875	-0.656789	-0.657179
0.136852	-0.652013	-0.652537
0.137830	-0.647584	-0.647870
0.138807	-0.642728	-0.643180
0.139785	-0.637887	-0.638465
0.140762	-0.633386	-0.633725
0.141740	-0.628462	-0.628962
0.142717	-0.623539	-0.624176
0.143695	-0.618969	-0.619365
0.144673	-0.613996	-0.614532
0.145650	-0.608974	-0.609675
0.146628	-0.604334	-0.604795
0.147605	-0.599335	-0.599892
0.148583	-0.594204	-0.594967
0.149560	-0.589482	-0.590019
0.150538	-0.584483	-0.585049
0.151515	-0.579241	-0.580057
0.152493	-0.574412	-0.575043
0.153470	-0.569437	-0.570007
0.154448	-0.564102	-0.564950
0.155425	-0.559127	-0.559872
0.156403	-0.554188	-0.554772
0.157380	-0.548805	-0.549652
0.158358	-0.543644	-0.544510
0.159335	-0.538719	-0.539348
0.160313	-0.533359	-0.534166
0.161290	-0.527993	-0.528964
0.162268	-0.523013	-0.523742
0.163245	-0.517751	-0.518500
0.164223	-0.512219	-0.513238
0.165200	-0.507075	-0.507957
0.166178	-0.501936	-0.502657
0.167155	-0.496358	-0.497338
0.168133	-0.490955	-0.492000
0.169110	-0.485857	-0.486644
0.170088	-0.480392	-0.481269
0.171065	-0.474746	-0.475876
0.172043	-0.469502	-0.470465
0.173021	-0.464228	-0.465037
0.173998	-0.458523	-0.459591
0.174976	-0.452968	-0.454127
0.175953	-0.447750	-0.448647
0.176931	-0.442230	-0.443149
0.177908	-0.436429	-0.437635
0.178886	-0.430973	-0.432104
0.179863	-0.425668	-0.426557
0.180841	-0.419945	-0.420994
0.181818	-0.414131	-0.415415
0.182796	-0.408716	-0.409820
0.183773	-0.403288	-0.404210
0.184751	-0.397430	-0.398585
0.185728	-0.391611	-0.392944
0.186706	-0.386185	-0.387289
0.187683	-0.380654	-0.381619
0.188661	-0.374710	-0.375935
0.189638	-0.368858	-0.370237
0.190616	-0.363386	-0.364524
0.191593	-0.357800	-0.358798
0.192571	-0.351804	-0.353058
0.193548	-0.345873	-0.347305
0.194526	-0.340329	-0.341539
0.195503	-0.334738	-0.335760
0.196481	-0.328732	-0.329968
0.197458	-0.322685	-0.324164
0.198436	-0.317020	-0.318348
0.199413	-0.311454	-0.312520
0.200391	-0.305512	-0.306680
0.201369	-0.299353	-0.300828
0.202346	-0.293485	-0.294965
0.203324	-0.287905	-0.289091
0.204301	-0.282116	-0.283206
0.205279	-0.275949	-0.277310
0.206256	-0.269821	-0.271404
0.207234	-0.264068	-0.265487
0.208211	-0.258430	-0.259561
0.209189	-0.252462	-0.253624
0.210166	-0.246198	-0.247678
0.211144	-0.240088	-0.241723
0.212121	-0.234343	-0.235759
0.213099	-0.228652	-0.229786
0.214076	-0.222622	-0.223804
0.215054	-0.216307	-0.217814
0.216031	-0.210120	-0.211815
0.217009	-0.204293	-0.205809
0.217986	-0.198600	-0.199794
0.218964	-0.192647	-0.193772
0.219941	-0.186345	-0.187743
0.220919	-0.179998	-0.181707
0.221896	-0.173947	-0.175664
0.222874	-0.168196	-0.169614
0.223851	-0.162431	-0.163558
0.224829	-0.156351	-0.157496
0.225806	-0.149968	-0.151428
0.226784	-0.143574	-0.145354
0.227761	-0.137458	-0.139274
0.228739	-0.131651	-0.133190
0.229717	-0.125918	-0.127100
0.230694	-0.119967	-0.121006
0.231672	-0.113683	-0.114907
0.232649	-0.107200	-0.108803
0.233627	-0.100780	-0.102696
0.234604	-0.094632	-0.096584
0.235582	-0.088778	-0.090469
0.236559	-0.083065	-0.084351
0.237537	-0.077266	-0.078229
0.238514	-0.071212	-0.072105
0.239492	-0.064866	-0.065978
0.240469	-0.058324	-0.059848
0.241447	-0.051750	-0.053716
0.242424	-0.045306	-0.047582
0.243402	-0.039094	-0.041446
0.244379	-0.033139	-0.035309
0.245357	-0.027395	-0.029170
0.246334	-0.021783	-0.023030
0.247312	-0.016216	-0.016889
0.248289	-0.010621	-0.010748
0.249267	-0.004954	-0.004606
0.250244	0.000808	0.001535
0.251222	0.006664	0.007677
0.252199	0.012602	0.013819
0.253177	0.018606	0.019960
0.254154	0.024658	0.026100
0.255132	0.030743	0.032239
0.256109	0.036849	0.038378
0.257087	0.042968	0.044514
0.258065	0.049093	0.050649
0.259042	0.055221	0.056782
0.260020	0.061350	0.062913
0.260997	0.067478	0.069042
0.261975	0.073604	0.075168
0.262952	0.079727	0.081291
0.263930	0.085848	0.087411
0.264907	0.091966	0.093527
0.265885	0.098080	0.099641
0.266862	0.104190	0.105750
0.267840	0.110297	0.111855
0.268817	0.116399	0.117957
0.269795	0.122497	0.124053
0.270772	0.128590	0.130146
0.271750	0.134679	0.136233
0.272727	0.140762	0.142315
0.273705	0.146840	0.148392
0.274682	0.152913	0.154463
