x	 u	 u_exact
0.000000	-0.010682	-0.003142
0.000978	-0.012635	0.003000
0.001955	-0.015273	0.009142
0.002933	-0.018642	0.015284
0.003910	-0.022772	0.021424
0.004888	-0.027674	0.027565
0.005865	-0.033329	0.033704
0.006843	-0.039680	0.039841
0.007820	-0.046630	0.045978
0.008798	-0.054042	0.052112
0.009775	-0.061739	0.058245
0.010753	-0.069522	0.064375
0.011730	-0.077185	0.070503
0.012708	-0.084537	0.076628
0.013685	-0.091430	0.082751
0.014663	-0.097778	0.088870
0.015640	-0.103578	0.094986
0.016618	-0.108914	0.101098
0.017595	-0.113946	0.107207
0.018573	-0.118888	0.113311
0.019550	-0.123970	0.119411
0.020528	-0.129390	0.125507
0.021505	-0.135278	0.131598
0.022483	-0.141654	0.137684
0.023460	-0.148432	0.143765
0.024438	-0.155420	0.149840
0.025415	-0.162384	0.155910
0.026393	-0.169085	0.161974
0.027370	-0.175365	0.168031
0.028348	-0.181170	0.174083
0.029326	-0.186596	0.180127
0.030303	-0.191833	0.186165
0.031281	-0.197146	0.192196
0.032258	-0.202751	0.198220
0.033236	-0.208787	0.204237
0.034213	-0.215221	0.210245
0.035191	-0.221904	0.216246
0.036168	-0.228569	0.222238
0.037146	-0.234983	0.228222
0.038123	-0.240972	0.234198
0.039101	-0.246562	0.240164
0.040078	-0.251892	0.246122
0.041056	-0.257245	0.252070
0.042033	-0.262846	0.258009
0.043011	-0.268853	0.263938
0.043988	-0.275198	0.269857
0.044966	-0.281707	0.275766
0.045943	-0.288076	0.281665
0.046921	-0.294115	0.287553
0.047898	-0.299734	0.293430
0.048876	-0.305091	0.299296
0.049853	-0.310418	0.305150
0.050831	-0.316001	0.310994
0.051808	-0.321946	0.316825
0.052786	-0.328204	0.322645
0.053763	-0.334517	0.328452
0.054741	-0.340627	0.334247
0.055718	-0.346348	0.340029
0.056696	-0.351736	0.345799
0.057674	-0.357000	0.351555
0.058651	-0.362435	0.357298
0.059629	-0.368209	0.363028
0.060606	-0.374292	0.368744
0.061584	-0.380455	0.374446
0.062561	-0.386409	0.380134
0.063539	-0.391998	0.385808
0.064516	-0.397272	0.391467
0.065494	-0.402492	0.397111
0.066471	-0.407919	0.402741
