x	 u	 u_exact
0.000000	-0.003142	0.000000
0.000978	-0.009283	-0.006142
0.001955	-0.015425	-0.012284
0.002933	-0.021565	-0.018425
0.003910	-0.027706	-0.024565
0.004888	-0.033844	-0.030705
0.005865	-0.039983	-0.036843
0.006843	-0.046118	-0.042980
0.007820	-0.052254	-0.049116
0.008798	-0.058384	-0.055249
0.009775	-0.064517	-0.061381
0.010753	-0.070642	-0.067510
0.011730	-0.076771	-0.073636
0.012708	-0.082889	-0.079760
0.013685	-0.089012	-0.085881
0.014663	-0.095124	-0.091999
0.015640	-0.101241	-0.098113
0.016618	-0.107344	-0.104223
0.017595	-0.113454	-0.110330
0.018573	-0.119549	-0.116432
0.019550	-0.125650	-0.122530
0.020528	-0.131735	-0.128623
0.021505	-0.137826	-0.134711
0.022483	-0.143901	-0.140795
0.023460	-0.149982	-0.146873
0.024438	-0.156046	-0.152945
0.025415	-0.162115	-0.159012
0.026393	-0.168168	-0.165073
0.027370	-0.174224	-0.171127
0.028348	-0.180264	-0.177175
0.029326	-0.186306	-0.183217
0.030303	-0.192334	-0.189251
0.031281	-0.198359	-0.195279
0.032258	-0.204374	-0.201299
0.033236	-0.210383	-0.207311
0.034213	-0.216384	-0.213315
0.035191	-0.222374	-0.219312
0.036168	-0.228362	-0.225300
0.037146	-0.234332	-0.231280
0.038123	-0.240305	-0.237251
0.039101	-0.246254	-0.243213
0.040078	-0.252211	-0.249166
0.041056	-0.258140	-0.255109
0.042033	-0.264080	-0.261043
0.043011	-0.269987	-0.266967
0.043988	-0.275908	-0.272881
0.044966	-0.281793	-0.278785
0.045943	-0.287694	-0.284678
0.046921	-0.293558	-0.290560
0.047898	-0.299436	-0.296432
0.048876	-0.305279	-0.302292
0.049853	-0.311132	-0.308141
0.050831	-0.316955	-0.313978
0.051808	-0.322780	-0.319803
0.052786	-0.328584	-0.325617
0.053763	-0.334379	-0.331418
0.054741	-0.340163	-0.337206
0.055718	-0.345927	-0.342982
0.056696	-0.351692	-0.348745
0.057674	-0.357423	-0.354494
0.058651	-0.363166	-0.360231
0.059629	-0.368866	-0.365954
0.060606	-0.374585	-0.371662
0.061584	-0.380255	-0.377357
0.062561	-0.385946	-0.383038
0.063539	-0.391588	-0.388704
0.064516	-0.397247	-0.394356
0.065494	-0.402864	-0.399993
0.066471	-0.408487	-0.405614
0.067449	-0.414080	-0.411220
0.068426	-0.419663	-0.416811
0.069404	-0.425234	-0.422386
0.070381	-0.430776	-0.427945
0.071359	-0.436324	-0.433488
0.072336	-0.441826	-0.439015
0.073314	-0.447347	-0.444525
0.074291	-0.452810	-0.450018
0.075269	-0.458299	-0.455495
0.076246	-0.463729	-0.460954
0.077224	-0.469180	-0.466396
0.078201	-0.474581	-0.471820
0.079179	-0.479987	-0.477226
0.080156	-0.485363	-0.482615
0.081134	-0.490720	-0.487985
0.082111	-0.496073	-0.493337
0.083089	-0.501380	-0.498670
0.084066	-0.506705	-0.503984
0.085044	-0.511967	-0.509279
0.086022	-0.517258	-0.514555
0.086999	-0.522481	-0.519812
0.087977	-0.527729	-0.525049
0.088954	-0.532920	-0.530266
0.089932	-0.538116	-0.535464
0.090909	-0.543282	-0.540641
0.091887	-0.548420	-0.545798
0.092864	-0.553561	-0.550934
0.093842	-0.558644	-0.556049
0.094819	-0.563754	-0.561143
0.095797	-0.568788	-0.566216
0.096774	-0.573855	-0.571268
0.097752	-0.578853	-0.576298
0.098729	-0.583865	-0.581307
0.099707	-0.588834	-0.586294
0.100684	-0.593783	-0.591258
0.101662	-0.598728	-0.596200
0.102639	-0.603613	-0.601120
0.103617	-0.608527	-0.606017
0.104594	-0.613359	-0.610891
0.105572	-0.618227	-0.615742
0.106549	-0.623020	-0.620570
0.107527	-0.627826	-0.625374
0.108504	-0.632592	-0.630155
0.109482	-0.637328	-0.634912
0.110459	-0.642069	-0.639646
0.111437	-0.646737	-0.644355
0.112414	-0.651442	-0.649039
0.113392	-0.656057	-0.653700
0.114370	-0.660707	-0.658335
0.115347	-0.665288	-0.662946
0.116325	-0.669865	-0.667532
0.117302	-0.674422	-0.672092
0.118280	-0.678922	-0.676627
0.119257	-0.683450	-0.681137
0.120235	-0.687885	-0.685621
0.121212	-0.692363	-0.690079
0.122190	-0.696757	-0.694511
0.123167	-0.701161	-0.698917
0.124145	-0.705531	-0.703296
0.125122	-0.709851	-0.707649
0.126100	-0.714195	-0.711976
0.127077	-0.718443	-0.716275
0.128055	-0.722738	-0.720548
0.129032	-0.726941	-0.724793
0.130010	-0.731160	-0.729011
0.130987	-0.735338	-0.733201
0.131965	-0.739467	-0.737364
0.132942	-0.743621	-0.741499
0.133920	-0.747674	-0.745606
0.134897	-0.751776	-0.749684
0.135875	-0.755784	-0.753735
0.136852	-0.759803	-0.757757
0.137830	-0.763790	-0.761751
0.138807	-0.767714	-0.765715
0.139785	-0.771673	-0.769651
0.140762	-0.775523	-0.773558
0.141740	-0.779421	-0.777436
0.142717	-0.783234	-0.781284
0.143695	-0.787038	-0.785103
0.144673	-0.790833	-0.788892
0.145650	-0.794540	-0.792652
0.146628	-0.798298	-0.796381
0.147605	-0.801943	-0.800081
0.148583	-0.805621	-0.803750
0.149560	-0.809242	-0.807389
0.150538	-0.812814	-0.810998
0.151515	-0.816415	-0.814576
0.152493	-0.819901	-0.818123
0.153470	-0.823442	-0.821640
0.154448	-0.826888	-0.825125
0.155425	-0.830325	-0.828579
0.156403	-0.833758	-0.832002
0.157380	-0.837091	-0.835394
0.158358	-0.840482	-0.838754
0.159335	-0.843757	-0.842083
0.160313	-0.847053	-0.845379
0.161290	-0.850313	-0.848644
0.162268	-0.853494	-0.851877
0.163245	-0.856726	-0.855078
0.164223	-0.859832	-0.858246
0.165200	-0.862980	-0.861382
0.166178	-0.866066	-0.864486
0.167155	-0.869093	-0.867557
0.168133	-0.872161	-0.870595
0.169110	-0.875099	-0.873600
0.170088	-0.878091	-0.876573
0.171065	-0.881004	-0.879512
0.172043	-0.883872	-0.882418
0.173021	-0.886773	-0.885291
0.173998	-0.889542	-0.888131
0.174976	-0.892372	-0.890937
0.175953	-0.895114	-0.893709
0.176931	-0.897816	-0.896448
0.177908	-0.900549	-0.899153
0.178886	-0.903148	-0.901824
0.179863	-0.905810	-0.904461
0.180841	-0.908382	-0.907063
0.181818	-0.910911	-0.909632
0.182796	-0.913476	-0.912166
0.183773	-0.915903	-0.914666
0.184751	-0.918390	-0.917131
0.185728	-0.920796	-0.919562
0.186706	-0.923145	-0.921958
0.187683	-0.925542	-0.924320
0.188661	-0.927796	-0.926646
0.189638	-0.930102	-0.928938
0.190616	-0.932345	-0.931194
0.191593	-0.934508	-0.933415
0.192571	-0.936735	-0.935601
0.193548	-0.938817	-0.937752
0.194526	-0.940932	-0.939868
0.195503	-0.943017	-0.941948
0.196481	-0.944990	-0.943992
0.197458	-0.947040	-0.946001
0.198436	-0.948958	-0.947974
0.199413	-0.950872	-0.949911
0.200391	-0.952800	-0.951813
0.201369	-0.954585	-0.953678
0.202346	-0.956445	-0.955508
0.203324	-0.958209	-0.957302
0.204301	-0.959915	-0.959059
0.205279	-0.961679	-0.960781
0.206256	-0.963288	-0.962466
0.207234	-0.964942	-0.964114
0.208211	-0.966559	-0.965727
0.209189	-0.968057	-0.967303
0.210166	-0.969641	-0.968842
0.211144	-0.971093	-0.970345
0.212121	-0.972524	-0.971812
0.213099	-0.973991	-0.973241
0.214076	-0.975300	-0.974634
0.215054	-0.976674	-0.975990
0.216031	-0.977988	-0.977310
0.217009	-0.979195	-0.978592
0.217986	-0.980489	-0.979838
0.218964	-0.981641	-0.981047
0.219941	-0.982779	-0.982218
0.220919	-0.983953	-0.983353
0.221896	-0.984964	-0.984450
0.222874	-0.986041	-0.985511
0.223851	-0.987064	-0.986534
0.224829	-0.987968	-0.987520
0.225806	-0.988965	-0.988468
0.226784	-0.989829	-0.989380
0.227761	-0.990655	-0.990254
0.228739	-0.991541	-0.991091
0.229717	-0.992257	-0.991890
0.230694	-0.993017	-0.992652
0.231672	-0.993764	-0.993376
