N,I,Error,time
1000,0.509168,-9.167671e-03,0.528709
10000,0.503762,-3.762066e-03,0.528685
100000,0.502289,-2.288759e-03,0.534555
1000000,0.500121,-1.211166e-04,5.725909
10000000,0.500403,-4.029274e-04,29.586563
100000000,0.500099,-9.930134e-05,29.728412
1000000000,0.503908,-3.907561e-03,29.604129
10000000000,0.500044,-4.369020e-05,30.443719
N,I,Error,time
1000,0.509168,-9.167612e-03,0.533628
10000,0.503762,-3.762007e-03,0.506214
100000,0.502289,-2.288759e-03,0.504650
1000000,0.500122,-1.218915e-04,7.656042
10000000,0.500403,-4.025698e-04,50.213399
100000000,0.500100,-9.977818e-05,44.452097
