x, y, u
-20.000000, -20.000000, 0.004383
-19.595960, -20.000000, 0.015181
-19.191919, -20.000000, 0.063792
-18.787879, -20.000000, 0.252329
-18.383838, -20.000000, 0.695966
-17.979798, -20.000000, 0.932387
-17.575758, -20.000000, 0.985013
-17.171717, -20.000000, 0.996301
-16.767677, -20.000000, 0.998961
-16.363636, -20.000000, 0.999628
-15.959596, -20.000000, 0.999648
-15.555556, -20.000000, 0.998885
-15.151515, -20.000000, 0.995509
-14.747475, -20.000000, 0.982435
-14.343434, -20.000000, 0.934307
-13.939394, -20.000000, 0.770402
-13.535354, -20.000000, 0.379143
-13.131313, -20.000000, 0.088865
-12.727273, -20.000000, 0.019022
-12.323232, -20.000000, 0.004212
-11.919192, -20.000000, 0.000989
-11.515152, -20.000000, 0.000248
-11.111111, -20.000000, 0.000066
-10.707071, -20.000000, 0.000019
-10.303030, -20.000000, 0.000006
-9.898990, -20.000000, 0.000002
-9.494949, -20.000000, 0.000001
-9.090909, -20.000000, 0.000000
-8.686869, -20.000000, 0.000000
-8.282828, -20.000000, 0.000000
-7.878788, -20.000000, 0.000000
-7.474747, -20.000000, 0.000000
-7.070707, -20.000000, 0.000000
-6.666667, -20.000000, 0.000000
-6.262626, -20.000000, 0.000000
-5.858586, -20.000000, 0.000000
-5.454545, -20.000000, 0.000000
-5.050505, -20.000000, 0.000000
-4.646465, -20.000000, 0.000000
-4.242424, -20.000000, 0.000001
-3.838384, -20.000000, 0.000001
-3.434343, -20.000000, 0.000001
-3.030303, -20.000000, 0.000001
-2.626263, -20.000000, 0.000001
-2.222222, -20.000000, 0.000002
-1.818182, -20.000000, 0.000002
-1.414141, -20.000000, 0.000002
-1.010101, -20.000000, 0.000002
-0.606061, -20.000000, 0.000002
-0.202020, -20.000000, 0.000001
0.202020, -20.000000, 0.000001
0.606061, -20.000000, 0.000001
1.010101, -20.000000, 0.000001
1.414141, -20.000000, 0.000001
1.818182, -20.000000, 0.000000
2.222222, -20.000000, 0.000000
2.626263, -20.000000, 0.000000
3.030303, -20.000000, 0.000000
3.434343, -20.000000, 0.000000
3.838384, -20.000000, 0.000000
4.242424, -20.000000, 0.000000
4.646465, -20.000000, 0.000000
5.050505, -20.000000, 0.000000
5.454545, -20.000000, 0.000000
5.858586, -20.000000, 0.000000
6.262626, -20.000000, 0.000000
6.666667, -20.000000, 0.000001
7.070707, -20.000000, 0.000002
7.474747, -20.000000, 0.000007
7.878788, -20.000000, 0.000025
8.282828, -20.000000, 0.000089
8.686869, -20.000000, 0.000343
9.090909, -20.000000, 0.001407
9.494949, -20.000000, 0.006177
9.898990, -20.000000, 0.028715
10.303030, -20.000000, 0.134498
10.707071, -20.000000, 0.512488
11.111111, -20.000000, 0.844751
11.515152, -20.000000, 0.958947
11.919192, -20.000000, 0.989791
12.323232, -20.000000, 0.997575
12.727273, -20.000000, 0.999390
13.131313, -20.000000, 0.999655
13.535354, -20.000000, 0.999249
13.939394, -20.000000, 0.997460
14.343434, -20.000000, 0.989998
14.747475, -20.000000, 0.955991
15.151515, -20.000000, 0.801197
15.555556, -20.000000, 0.347441
15.959596, -20.000000, 0.089753
16.363636, -20.000000, 0.020306
16.767677, -20.000000, 0.004445
17.171717, -20.000000, 0.000954
17.575758, -20.000000, 0.000200
17.979798, -20.000000, 0.000041
