x, y, u
-20.000000, -20.000000, 0.003976
-19.595960, -20.000000, 0.013841
-19.191919, -20.000000, 0.058418
-18.787879, -20.000000, 0.233620
-18.383838, -20.000000, 0.669287
-17.979798, -20.000000, 0.926251
-17.575758, -20.000000, 0.983710
-17.171717, -20.000000, 0.996002
-16.767677, -20.000000, 0.998887
-16.363636, -20.000000, 0.999612
-15.959596, -20.000000, 0.999667
-15.555556, -20.000000, 0.998989
-15.151515, -20.000000, 0.995915
-14.747475, -20.000000, 0.983907
-14.343434, -20.000000, 0.939386
-13.939394, -20.000000, 0.785970
-13.535354, -20.000000, 0.404791
-13.131313, -20.000000, 0.096614
-12.727273, -20.000000, 0.020695
-12.323232, -20.000000, 0.004563
-11.919192, -20.000000, 0.001066
-11.515152, -20.000000, 0.000266
-11.111111, -20.000000, 0.000071
-10.707071, -20.000000, 0.000020
-10.303030, -20.000000, 0.000006
-9.898990, -20.000000, 0.000002
-9.494949, -20.000000, 0.000001
-9.090909, -20.000000, 0.000000
-8.686869, -20.000000, 0.000000
-8.282828, -20.000000, 0.000000
-7.878788, -20.000000, 0.000000
-7.474747, -20.000000, 0.000000
-7.070707, -20.000000, 0.000000
-6.666667, -20.000000, 0.000000
-6.262626, -20.000000, 0.000000
-5.858586, -20.000000, 0.000000
-5.454545, -20.000000, 0.000000
-5.050505, -20.000000, 0.000000
-4.646465, -20.000000, 0.000000
-4.242424, -20.000000, 0.000001
-3.838384, -20.000000, 0.000001
-3.434343, -20.000000, 0.000001
-3.030303, -20.000000, 0.000001
-2.626263, -20.000000, 0.000001
-2.222222, -20.000000, 0.000002
-1.818182, -20.000000, 0.000002
-1.414141, -20.000000, 0.000002
-1.010101, -20.000000, 0.000002
-0.606061, -20.000000, 0.000002
-0.202020, -20.000000, 0.000001
0.202020, -20.000000, 0.000001
0.606061, -20.000000, 0.000001
1.010101, -20.000000, 0.000001
1.414141, -20.000000, 0.000001
1.818182, -20.000000, 0.000000
2.222222, -20.000000, 0.000000
2.626263, -20.000000, 0.000000
3.030303, -20.000000, 0.000000
3.434343, -20.000000, 0.000000
3.838384, -20.000000, 0.000000
4.242424, -20.000000, 0.000000
4.646465, -20.000000, 0.000000
5.050505, -20.000000, 0.000000
5.454545, -20.000000, 0.000000
5.858586, -20.000000, 0.000000
6.262626, -20.000000, 0.000000
6.666667, -20.000000, 0.000001
7.070707, -20.000000, 0.000002
7.474747, -20.000000, 0.000006
7.878788, -20.000000, 0.000019
8.282828, -20.000000, 0.000068
8.686869, -20.000000, 0.000260
9.090909, -20.000000, 0.001055
9.494949, -20.000000, 0.004572
9.898990, -20.000000, 0.021007
10.303030, -20.000000, 0.099416
10.707071, -20.000000, 0.421315
11.111111, -20.000000, 0.801832
11.515152, -20.000000, 0.946790
11.919192, -20.000000, 0.986703
12.323232, -20.000000, 0.996833
12.727273, -20.000000, 0.999234
13.131313, -20.000000, 0.999658
13.535354, -20.000000, 0.999372
13.939394, -20.000000, 0.997951
14.343434, -20.000000, 0.992115
14.747475, -20.000000, 0.966118
15.151515, -20.000000, 0.846859
15.555556, -20.000000, 0.420981
15.959596, -20.000000, 0.113900
16.363636, -20.000000, 0.026000
16.767677, -20.000000, 0.005698
17.171717, -20.000000, 0.001224
17.575758, -20.000000, 0.000257
17.979798, -20.000000, 0.000052
18.383838, -20.000000, 0.000010
18.787879, -20.000000, 0.000002
19.191919, -20.000000, 0.000000
19.595960, -20.000000, 0.000000
20.000000, -20.000000, 0.000000
-20.000000, -19.595960, 0.009301
-19.595960, -19.595960, 0.029821
-19.191919, -19.595960, 0.113675
-18.787879, -19.595960, 0.379840
-18.383838, -19.595960, 0.788533
-17.979798, -19.595960, 0.950120
-17.575758, -19.595960, 0.988054
-17.171717, -19.595960, 0.996838
-16.767677, -19.595960, 0.999030
-16.363636, -19.595960, 0.999502
-15.959596, -19.595960, 0.999001
-15.555556, -19.595960, 0.996153
-15.151515, -19.595960, 0.985028
-14.747475, -19.595960, 0.946314
-14.343434, -19.595960, 0.827615
-13.939394, -19.595960, 0.545445
-13.535354, -19.595960, 0.200404
-13.131313, -19.595960, 0.050515
-12.727273, -19.595960, 0.012057
-12.323232, -19.595960, 0.002948
-11.919192, -19.595960, 0.000755
-11.515152, -19.595960, 0.000203
-11.111111, -19.595960, 0.000058
-10.707071, -19.595960, 0.000017
-10.303030, -19.595960, 0.000005
-9.898990, -19.595960, 0.000002
-9.494949, -19.595960, 0.000001
-9.090909, -19.595960, 0.000000
-8.686869, -19.595960, 0.000000
-8.282828, -19.595960, 0.000000
-7.878788, -19.595960, 0.000000
-7.474747, -19.595960, 0.000000
-7.070707, -19.595960, 0.000000
-6.666667, -19.595960, 0.000000
-6.262626, -19.595960, 0.000000
-5.858586, -19.595960, 0.000001
-5.454545, -19.595960, 0.000001
-5.050505, -19.595960, 0.000001
-4.646465, -19.595960, 0.000002
-4.242424, -19.595960, 0.000003
-3.838384, -19.595960, 0.000004
-3.434343, -19.595960, 0.000005
-3.030303, -19.595960, 0.000007
-2.626263, -19.595960, 0.000008
-2.222222, -19.595960, 0.000009
-1.818182, -19.595960, 0.000010
-1.414141, -19.595960, 0.000010
-1.010101, -19.595960, 0.000010
-0.606061, -19.595960, 0.000010
-0.202020, -19.595960, 0.000009
0.202020, -19.595960, 0.000008
0.606061, -19.595960, 0.000006
1.010101, -19.595960, 0.000005
1.414141, -19.595960, 0.000004
1.818182, -19.595960, 0.000003
2.222222, -19.595960, 0.000002
2.626263, -19.595960, 0.000001
3.030303, -19.595960, 0.000001
3.434343, -19.595960, 0.000000
3.838384, -19.595960, 0.000000
4.242424, -19.595960, 0.000000
4.646465, -19.595960, 0.000000
5.050505, -19.595960, 0.000000
5.454545, -19.595960, 0.000000
5.858586, -19.595960, 0.000000
6.262626, -19.595960, 0.000000
6.666667, -19.595960, 0.000001
7.070707, -19.595960, 0.000002
7.474747, -19.595960, 0.000005
7.878788, -19.595960, 0.000017
8.282828, -19.595960, 0.000056
8.686869, -19.595960, 0.000200
9.090909, -19.595960, 0.000754
9.494949, -19.595960, 0.002994
9.898990, -19.595960, 0.012472
10.303030, -19.595960, 0.053396
10.707071, -19.595960, 0.216452
11.111111, -19.595960, 0.580915
11.515152, -19.595960, 0.852260
11.919192, -19.595960, 0.957164
12.323232, -19.595960, 0.988882
12.727273, -19.595960, 0.997317
13.131313, -19.595960, 0.999253
13.535354, -19.595960, 0.999360
13.939394, -19.595960, 0.998287
14.343434, -19.595960, 0.993899
14.747475, -19.595960, 0.975520
15.151515, -19.595960, 0.894403
15.555556, -19.595960, 0.578193
15.959596, -19.595960, 0.195012
16.363636, -19.595960, 0.049506
16.767677, -19.595960, 0.011542
17.171717, -19.595960, 0.002587
17.575758, -19.595960, 0.000560
17.979798, -19.595960, 0.000117
18.383838, -19.595960, 0.000023
18.787879, -19.595960, 0.000004
19.191919, -19.595960, 0.000001
19.595960, -19.595960, 0.000000
20.000000, -19.595960, 0.000000
-20.000000, -19.191919, 0.028204
-19.595960, -19.191919, 0.082170
-19.191919, -19.191919, 0.270611
-18.787879, -19.191919, 0.649643
-18.383838, -19.191919, 0.899640
-17.979798, -19.191919, 0.974092
-17.575758, -19.191919, 0.992951
-17.171717, -19.191919, 0.997862
-16.767677, -19.191919, 0.999113
-16.363636, -19.191919, 0.998805
-15.959596, -19.191919, 0.995683
-15.555556, -19.191919, 0.982772
-15.151515, -19.191919, 0.937003
-14.747475, -19.191919, 0.799960
-14.343434, -19.191919, 0.505392
-13.939394, -19.191919, 0.200889
-13.535354, -19.191919, 0.064567
-13.131313, -19.191919, 0.018478
-12.727273, -19.191919, 0.005161
-12.323232, -19.191919, 0.001461
-11.919192, -19.191919, 0.000426
-11.515152, -19.191919, 0.000129
-11.111111, -19.191919, 0.000041
-10.707071, -19.191919, 0.000013
-10.303030, -19.191919, 0.000005
-9.898990, -19.191919, 0.000002
-9.494949, -19.191919, 0.000001
-9.090909, -19.191919, 0.000000
-8.686869, -19.191919, 0.000000
-8.282828, -19.191919, 0.000000
-7.878788, -19.191919, 0.000000
-7.474747, -19.191919, 0.000000
-7.070707, -19.191919, 0.000001
-6.666667, -19.191919, 0.000001
-6.262626, -19.191919, 0.000002
-5.858586, -19.191919, 0.000004
-5.454545, -19.191919, 0.000006
-5.050505, -19.191919, 0.000010
-4.646465, -19.191919, 0.000014
-4.242424, -19.191919, 0.000020
-3.838384, -19.191919, 0.000027
-3.434343, -19.191919, 0.000035
-3.030303, -19.191919, 0.000043
-2.626263, -19.191919, 0.000051
-2.222222, -19.191919, 0.000057
-1.818182, -19.191919, 0.000062
-1.414141, -19.191919, 0.000064
-1.010101, -19.191919, 0.000064
-0.606061, -19.191919, 0.000061
-0.202020, -19.191919, 0.000056
0.202020, -19.191919, 0.000048
0.606061, -19.191919, 0.000041
1.010101, -19.191919, 0.000032
1.414141, -19.191919, 0.000025
1.818182, -19.191919, 0.000018
2.222222, -19.191919, 0.000012
2.626263, -19.191919, 0.000008
3.030303, -19.191919, 0.000005
3.434343, -19.191919, 0.000003
3.838384, -19.191919, 0.000002
4.242424, -19.191919, 0.000001
4.646465, -19.191919, 0.000000
5.050505, -19.191919, 0.000000
5.454545, -19.191919, 0.000000
5.858586, -19.191919, 0.000000
