x, y, u
-20.000000, -20.000000, 0.000000
-19.595960, -20.000000, 0.000000
-19.191919, -20.000000, 0.000000
-18.787879, -20.000000, 0.000000
-18.383838, -20.000000, 0.000000
-17.979798, -20.000000, 0.000000
-17.575758, -20.000000, 0.000000
-17.171717, -20.000000, 0.000000
-16.767677, -20.000000, 0.000001
-16.363636, -20.000000, 0.000003
-15.959596, -20.000000, 0.000010
-15.555556, -20.000000, 0.000030
-15.151515, -20.000000, 0.000089
-14.747475, -20.000000, 0.000253
-14.343434, -20.000000, 0.000698
-13.939394, -20.000000, 0.001854
-13.535354, -20.000000, 0.004749
-13.131313, -20.000000, 0.011715
-12.727273, -20.000000, 0.027820
-12.323232, -20.000000, 0.063590
-11.919192, -20.000000, 0.139971
-11.515152, -20.000000, 0.295645
-11.111111, -20.000000, 0.578728
-10.707071, -20.000000, 0.894633
-10.303030, -20.000000, 0.973542
-9.898990, -20.000000, 0.996058
-9.494949, -20.000000, 0.999668
-9.090909, -20.000000, 0.999486
-8.686869, -20.000000, 0.999585
-8.282828, -20.000000, 1.000420
-7.878788, -20.000000, 0.999709
-7.474747, -20.000000, 1.000124
-7.070707, -20.000000, 0.999953
-6.666667, -20.000000, 1.000024
-6.262626, -20.000000, 0.999975
-5.858586, -20.000000, 1.000025
-5.454545, -20.000000, 0.999978
-5.050505, -20.000000, 1.000013
-4.646465, -20.000000, 0.999991
-4.242424, -20.000000, 1.000001
-3.838384, -20.000000, 0.999996
-3.434343, -20.000000, 0.999996
-3.030303, -20.000000, 0.999995
-2.626263, -20.000000, 0.999994
-2.222222, -20.000000, 0.999994
-1.818182, -20.000000, 0.999993
-1.414141, -20.000000, 0.999993
-1.010101, -20.000000, 0.999994
-0.606061, -20.000000, 0.999994
-0.202020, -20.000000, 0.999997
0.202020, -20.000000, 0.999994
0.606061, -20.000000, 0.999997
1.010101, -20.000000, 1.000003
1.414141, -20.000000, 0.999983
1.818182, -20.000000, 1.000026
2.222222, -20.000000, 0.999971
2.626263, -20.000000, 1.000002
3.030303, -20.000000, 1.000036
3.434343, -20.000000, 0.999909
3.838384, -20.000000, 0.999942
4.242424, -20.000000, 0.999641
4.646465, -20.000000, 0.999116
5.050505, -20.000000, 0.994753
5.454545, -20.000000, 0.970197
5.858586, -20.000000, 0.871450
6.262626, -20.000000, 0.518678
6.666667, -20.000000, 0.239053
