x, y, u
-20.000000, -20.000000, 0.000000
-19.595960, -20.000000, 0.000001
-19.191919, -20.000000, 0.000004
-18.787879, -20.000000, 0.000018
-18.383838, -20.000000, 0.000081
-17.979798, -20.000000, 0.000347
-17.575758, -20.000000, 0.001428
-17.171717, -20.000000, 0.005657
-16.767677, -20.000000, 0.021849
-16.363636, -20.000000, 0.083238
-15.959596, -20.000000, 0.301085
-15.555556, -20.000000, 0.776617
-15.151515, -20.000000, 0.954012
-14.747475, -20.000000, 0.991138
-14.343434, -20.000000, 0.998218
-13.939394, -20.000000, 0.999528
-13.535354, -20.000000, 0.999824
-13.131313, -20.000000, 0.999838
-12.727273, -20.000000, 0.999554
-12.323232, -20.000000, 0.998542
-11.919192, -20.000000, 0.995482
-11.515152, -20.000000, 0.987033
-11.111111, -20.000000, 0.965355
-10.707071, -20.000000, 0.912910
-10.303030, -20.000000, 0.791440
-9.898990, -20.000000, 0.529112
-9.494949, -20.000000, 0.155764
-9.090909, -20.000000, 0.033330
-8.686869, -20.000000, 0.005337
-8.282828, -20.000000, 0.000883
-7.878788, -20.000000, 0.000298
-7.474747, -20.000000, 0.000095
-7.070707, -20.000000, -0.000010
-6.666667, -20.000000, 0.000014
-6.262626, -20.000000, 0.000046
-5.858586, -20.000000, -0.000106
-5.454545, -20.000000, 0.000134
-5.050505, -20.000000, -0.000120
-4.646465, -20.000000, 0.000085
-4.242424, -20.000000, -0.000048
-3.838384, -20.000000, 0.000021
-3.434343, -20.000000, -0.000006
-3.030303, -20.000000, -0.000000
-2.626263, -20.000000, 0.000002
-2.222222, -20.000000, -0.000001
-1.818182, -20.000000, 0.000001
-1.414141, -20.000000, -0.000000
-1.010101, -20.000000, -0.000000
-0.606061, -20.000000, 0.000001
-0.202020, -20.000000, -0.000001
0.202020, -20.000000, 0.000002
0.606061, -20.000000, -0.000002
1.010101, -20.000000, -0.000002
1.414141, -20.000000, 0.000014
1.818182, -20.000000, -0.000036
2.222222, -20.000000, 0.000062
2.626263, -20.000000, -0.000083
3.030303, -20.000000, 0.000079
3.434343, -20.000000, -0.000043
3.838384, -20.000000, -0.000006
4.242424, -20.000000, 0.000040
4.646465, -20.000000, -0.000010
5.050505, -20.000000, 0.000101
5.454545, -20.000000, 0.000525
5.858586, -20.000000, 0.001963
6.262626, -20.000000, 0.007807
6.666667, -20.000000, 0.047298
7.070707, -20.000000, 0.260135
7.474747, -20.000000, 0.635825
7.878788, -20.000000, 0.847269
8.282828, -20.000000, 0.939235
8.686869, -20.000000, 0.977167
9.090909, -20.000000, 0.992012
9.494949, -20.000000, 0.997421
9.898990, -20.000000, 0.999227
10.303030, -20.000000, 0.999757
10.707071, -20.000000, 0.999839
11.111111, -20.000000, 0.999633
11.515152, -20.000000, 0.998508
11.919192, -20.000000, 0.993145
12.323232, -20.000000, 0.967756
12.727273, -20.000000, 0.850010
13.131313, -20.000000, 0.371360
13.535354, -20.000000, 0.101383
13.939394, -20.000000, 0.025363
14.343434, -20.000000, 0.006240
14.747475, -20.000000, 0.001501
15.151515, -20.000000, 0.000348
15.555556, -20.000000, 0.000077
15.959596, -20.000000, 0.000016
16.363636, -20.000000, 0.000003
16.767677, -20.000000, 0.000001
17.171717, -20.000000, 0.000000
17.575758, -20.000000, 0.000000
17.979798, -20.000000, -0.000002
18.383838, -20.000000, 0.000006
18.787879, -20.000000, -0.000016
19.191919, -20.000000, 0.000035
19.595960, -20.000000, -0.000048
20.000000, -20.000000, 0.000026
-20.000000, -19.595960, 0.000001
-19.595960, -19.595960, 0.000003
-19.191919, -19.595960, 0.000012
-18.787879, -19.595960, 0.000058
-18.383838, -19.595960, 0.000259
-17.979798, -19.595960, 0.001103
-17.575758, -19.595960, 0.004484
-17.171717, -19.595960, 0.017376
-16.767677, -19.595960, 0.063677
-16.363636, -19.595960, 0.212683
-15.959596, -19.595960, 0.562872
-15.555556, -19.595960, 0.885351
-15.151515, -19.595960, 0.974463
-14.747475, -19.595960, 0.994392
-14.343434, -19.595960, 0.998604
-13.939394, -19.595960, 0.999531
-13.535354, -19.595960, 0.999690
-13.131313, -19.595960, 0.999264
-12.727273, -19.595960, 0.997563
-12.323232, -19.595960, 0.992228
-11.919192, -19.595960, 0.977221
-11.515152, -19.595960, 0.938943
-11.111111, -19.595960, 0.851466
-10.707071, -19.595960, 0.678522
-10.303030, -19.595960, 0.411598
-9.898990, -19.595960, 0.167179
-9.494949, -19.595960, 0.055441
-9.090909, -19.595960, 0.013269
-8.686869, -19.595960, 0.002501
-8.282828, -19.595960, 0.000819
-7.878788, -19.595960, 0.000339
-7.474747, -19.595960, 0.000027
-7.070707, -19.595960, 0.000031
-6.666667, -19.595960, -0.000008
-6.262626, -19.595960, -0.000086
-5.858586, -19.595960, 0.000201
-5.454545, -19.595960, -0.000248
-5.050505, -19.595960, 0.000222
-4.646465, -19.595960, -0.000157
-4.242424, -19.595960, 0.000089
-3.838384, -19.595960, -0.000039
-3.434343, -19.595960, 0.000011
-3.030303, -19.595960, 0.000001
-2.626263, -19.595960, -0.000003
-2.222222, -19.595960, 0.000002
-1.818182, -19.595960, -0.000001
-1.414141, -19.595960, 0.000000
-1.010101, -19.595960, 0.000000
-0.606061, -19.595960, -0.000001
-0.202020, -19.595960, 0.000003
0.202020, -19.595960, -0.000004
0.606061, -19.595960, 0.000004
1.010101, -19.595960, 0.000004
1.414141, -19.595960, -0.000027
1.818182, -19.595960, 0.000066
2.222222, -19.595960, -0.000117
2.626263, -19.595960, 0.000156
3.030303, -19.595960, -0.000151
3.434343, -19.595960, 0.000086
3.838384, -19.595960, 0.000007
4.242424, -19.595960, -0.000043
4.646465, -19.595960, 0.000056
5.050505, -19.595960, -0.000003
5.454545, -19.595960, 0.000335
5.858586, -19.595960, 0.001518
6.262626, -19.595960, 0.004706
6.666667, -19.595960, 0.018891
7.070707, -19.595960, 0.083648
7.474747, -19.595960, 0.235724
7.878788, -19.595960, 0.520507
8.282828, -19.595960, 0.762038
8.686869, -19.595960, 0.898845
9.090909, -19.595960, 0.961649
9.494949, -19.595960, 0.986844
9.898990, -19.595960, 0.995891
10.303030, -19.595960, 0.998806
10.707071, -19.595960, 0.999593
11.111111, -19.595960, 0.999614
11.515152, -19.595960, 0.998888
11.919192, -19.595960, 0.995402
12.323232, -19.595960, 0.980307
12.727273, -19.595960, 0.911605
13.131313, -19.595960, 0.624668
13.535354, -19.595960, 0.239340
13.939394, -19.595960, 0.069224
